Contact,Description,Name,Social,Web_Address
,Coaltown Coffee only roasts speciality grade Arabica coffee which is an area which is booming in the coffee industry and one that promotes quality and ethics. We would like to raise the bar in Wales and to embrace this change in the coffee industry with our Roastery which is proud to be a member of the Specialty Coffee Association of Europe.,Coaltown Coffee Roasters,,http://www.coaltowncoffee.co.uk
,"Independently owned Lost Sheep Coffee serves and roasts you only the best speciality coffee, sourced by us, based on taste not price. We'd love to introduce you to the world of speciality coffee. We are speciality coffee roasters ourselves, but we still work with leading coffee roasters both big & small, to serve you an inspiring range of the best speciality coffee currently available from an array of unique Micro Roasters from around the UK and Europe. Along side this excellent rotating range of guest coffees we have our amazing house espresso blend, roasted by the fantastic guys n girls in our Kent roastery.",Lost Sheep Coffee,,http://www.lostsheepcoffee.com
,"The finest blends and single origin speciality coffee from Aintree, Liverpool. Freshly roasted to order and delivered free of charge direct to your home or business. Time to indulge your senses!",Now Coffee,,http://now-coffee.co.uk
,"Campervan Coffee Co is now in its 5th year of roasting and suppling businesses across the HORECA market. Marc Howard, the owner of Campervan Coffee immersed himself into learning how to roast coffee after a successful career as a Barista and set up the wholesale business directed towards improving coffee service through education, collaboration and barista training. Campervan Coffee now supply, coffee bars, fine dining restaurants, cafes and businesses as well as selling online.",Campervan Coffee Co,,http://www.campervancoffeeco.co.uk
,"Speciality coffee roasters, roasting & delivering in Bristol. Subscription coffee available!",Blind Owl Coffee,,https://www.blindowlcoffee.com
,"Roast, taste, repeat - tireless in the pursuit of coffees with exceptional character.",PLOT Roasting,,http://plotroasting.com
,"Speciality coffee roaster. Based inside HMP Feltham. Helping to break the cycle of re-offending, training young adults to roast and make great coffee.",Inside Ground,,http://insideground.co.uk
,Award winning coffee from our Roastery direct to your front door. Coffee cart @ Glasgow Queen Street Station. Small & independent 👍,Luckie Beans Coffee Roasters,,http://www.luckiebeans.co.uk
,We're roasting speciality coffee from the most incredible farmers around the world.,Untold Coffee,,http://www.UntoldCoffee.co.uk
,"Hidden in the heart of Manchester, behind a faux Victorian façade made out of reclaimed wood and glass. Heart & Graft roastery. The new home of the Coffee Circle & Uno coffee service. Coffee love in the heart of Manchester.",Heart & Graft Coffee Roastery,,http://www.heartandgraft.co.uk
,"Round Hill Roastery is a speciality coffee roasting company based a few miles south of Bath in Radstock, Somerset. Our focus is to source, roast and supply exceptional coffee for the home brewer and wholesale customer. Our approach to coffee is to source the best seasonal harvest, only picking small lots from independent growers and co-operatives and always paying a premium for unique quality and character. We roast to highlight the dynamic flavours, naturally found within our coffees.",Round Hill Roastery,,https://www.roundhillroastery.com
,"This is about making coffee accessible for everyone, anytime and anywhere. Not just coffee. Good coffee. Great coffee even. Great coffee with provenance you can think about and be proud of when you drink it. Made by us. This is our way of maintaining complete control and always putting quality first. From restoring our 1950’s roaster, to letter pressing business cards and test roasting samples for procurement. We do it because it keeps us involved with every part of the process and that’s how we like it. Anything that goes out with a Yallah logo on it has been hand crafted with love and we’re proud of it. We want people to love our coffee but we want people to understand us too. It’s not about announcing to the world that we are the best. It’s about loving our product but loving our service and culture too.",YallahCoffee,,http://www.yallahcoffee.co.uk
,"A speciality micro roastery based in the outskirts of historic Penryn in Cornwall. Combining passion with years of experience in the specialty coffee industry, our mission is to source and roast the finest beans from around the world. With knowledge, research and skill, we roast our coffees with profiles that bring the best sweetness, flavour and richness out of each coffee bean.",Olfactory Coffee,,http://www.olfactorycoffee.co.uk
,"Colonna Coffee is one of the UK's leading roasters, based near Bath and founded by Maxwell Colonna-Dashwood - three times UK Barista Champion and three time World Barista finalist. Maxwell and his team continues to push the boundaries of coffee with their book ""Water For Coffee"", their range of speciality coffee beans and fully recyclable capsules, and their iconic cafe in Bath - Colonna & Smalls",Colonna Coffee,,https://colonnacoffee.com
,"Triple Co Roast is an open-access micro-roastery in the heart of the city of Bristol, England. It was founded by local Bristol boy Jo Thompson in early 2015 after he spent two years studying out in California, learning coffee and roasting at home. The mission is triple and always has been. To roast high quality coffee beans, small batch. To buy green coffee via direct trade with bean farmers and to focus on having amazing roaster-to-customer relations. We are also open-access and transparent, meaning you can come and visit and ask questions!",TripleCoRoast,,http://www.triplecoroast.com
,"Curve is a speciality coffee roastery based in Margate, East Kent. We're dedicated to responsibly sourcing the most interesting fresh crop green coffee we can get our hands on and roasting it to bring out the best it can offer. Our goal is to be at the forefront of the speciality coffee industry and constantly improving; establish Kent in the UK speciality coffee map and nurture local coffee community; become an acknowledged source of coffee and education. You can buy Curve's coffee through their",Curve Roasters,,http://www.curveroasters.co.uk
,"Bloss focuses on speciality coffee direct from origin, offering you multiple coffee types from the same farm. Part of our team are based in Thailand all year round sourcing coffees from Asia and Africa. We are vested heavily in long-term projects with many farmers to guarantee our coffee is sourced responsibly and with sustainability at the farm level in mind. In an artisan Roastery in Kent, we roast these great coffees in small batches to present these coffee to you, for you to discover the unique and complex flavour diversity for yourself. Bloss offers wholesale, subscription coffee selections, SCA education and consultancy, helpful brew guides and speciality coffee explanation to assist you on your journey through the world of speciality coffee.",Bloss Coffee Company,,http://www.andbloss.com
,"“Redemption Roasters gives young offenders the chance to skill up for a new life after prison. [...] In a tough environment, the Redemption Roasters' experiment fulfils a crucial role.” - Financial Times",Redemption roasters,,https://www.redemptionroasters.com
,Coffee by Assembly. Collectively creating forward thinking approaches to coffee and cafe culture.,Assembly Coffee,,https://assemblycoffee.co.uk
,"Artisan roasted coffee beans and own label coffee beans, ESE Coffee Pods, as well as Nespresso, Dolce Gusto, Lavazza A Modo Mio compatible Coffee Capsules. Everything we do revolves around quality. This begins with the selection of superior seed material from carefully selected green coffee suppliers, and does not end until we have delivered perfectly roasted coffee to our clients. Our vertically integrated supply chain gives Coffee Sense the unique ability to control quality from green coffee bean to coffee cup, and is matched by our in-house creative design team that will help you with the design and development of your brand for your market.",Coffee Sense,,http://www.coffeesense.co.uk
,After working for many years in the coffee and hospitality industry we had met so many fantastic people that we wanted to work with and so many ideas we wanted to develop further. We want to be true to the “Steampunk Ethos” – remaking the old and tailoring it for the future.,Steampunk Coffee Roasters,,http://www.steampunkcoffee.co.uk
,"Origin Coffee is a leading UK speciality coffee roaster. Direct trade sourcing, roasting, educating and brewing.",Origin Coffee,,https://www.origincoffee.co.uk
,"From our farm in Medellin, Colombia where we grow coffee to our garden roastery workshop in Penge. We hand roast small batches of speciality coffee from around the world. We provide wholesale coffee to businesses and cafes. As well a personalised coffee subscription and delivery to your home.",Carnival Coffee Roasters,,http://www.carnivalcoffee.co.uk
,"We’re an Independent Micro Roastery based in the heart of St Neots. We provide 100% Arabica, sustainable sourced coffee of 7 different varieties roasted in-house, sold as beans or ground to your preference. We also sell a selection of home brewing equipment and a lovely selection of herbal teas.",Bohemia Roasts,,http://www.bohemiaroasts.com
,"We are Roasting Plant, a bunch of coffee-lovers from the Lower East Side NYC who set out on a quest to create the perfect just roasted cup. Our journey was started by an industrial engineer (and coffee geek) with an ambition to unlock the true flavors of the finest coffee beans. Now in London.",Roasting Plant UK,,https://roastingplant.com
,Independent speciality coffee roastery based in Angel.,Scarlett Coffee Roastery,,http://www.wearescarlett.co.uk
,"Our coffee beans are sourced from smallholder farmers and like-minded traders across the world, all of whom embrace fair, ethical, sustainable agriculture as part of their DNA. No funny business. The beans are all organic – they help keep our planet happy, support our ecosystem and ensure that everything lives in harmony. They're peacekeepers. No pesticides, fertilisers or toxins allowed. These are beans which, once roasted, will make the purest cup of coffee.",Eat Your Hat,,https://www.eatyourhat.com
,"We started Common because we love coffee. Not just the taste, smell, or morning caffeine hit, we love the role coffee play’s in the lives of people across the globe. From the farmers who rely on it to make a living, to the roasters and baristas honing their craft to deliver the best brew, to those of us who can’t get through the morning without smelling those sweet aroma's.",Common Coffee,,https://www.commoncoffee.co.uk
,"Farmer focused, crop to cup. UK based Craft Coffee for hotels, bars & restaurants. Disruptive force against boring coffee providers",Paddy & Scott's,,http://www.paddyandscotts.co.uk
,"We started Cast Iron Coffee Roasters with a vision of a family business focused squarely on producing the best quality speciality coffee possible. We hand roast our coffee beans to order at our workshop in West Sussex, with the aim of getting them to our customers within 3 working days of being ordered. The best quality coffee from a traceable source, carefully roasted, delivered fresh - that is speciality coffee and it is delicious, this is what we do at Cast Iron Coffee Roasters. And nobody ever argues with deliciousness!",Cast Iron Coffee Roasters,,https://thecoffeeroasters.co.uk/collections/cast-iron-coffee-roasters-west-sussex
,"F&E Coffee are a speciality coffee roasters founded in 2015 and based in Bury St Edmunds, Suffolk. They aim to deliver a wonderful coffee experience - from ethically sourcing their speciality grade beans through to roasting, brewing and finally to their unique dispensing solutions. Their team has over 25 years of friendship and experience which forms a shared and well travelled passion for speciality coffee. They embrace their natural curiosity and continually strive to improve through experimentation, science and innovation.",F & E Coffee,,https://thecoffeeroasters.co.uk/collections/f-and-e-coffee
,"Bring your packing into the 21st century with our state of the art coffee packing machines. Forget filling your coffee beans and grounds by hand or using expensive third-party fulfillers, our machines let you take full control over your packing so you can Scayl. Our machines are faster than packing by hand, more accurate and will help speed up your production. Facebook:",Scayl Coffee Packing Machines,,https://www.scayl.co.uk
,"We are Salford Roasters, we import, roast and deliver the best #coffee you’ve ever tasted... guaranteed! info@salfordroasters.co.uk",Salford Roasters ☕️,,http://www.salfordroasters.co.uk
,We are an all female coffee roastery based in the wild south-west. We source specialty coffees from female producers and those who work to support them.,GirlsWhoGrindCoffee,,http://www.girlswhogrindcoffee.com
,"A specialty coffee roastery and coffee bar based in Lindfield, West Sussex. Instagram @lindfieldcoffeeworks",Lindfield Coffee Works,,http://www.lindfieldcoffeeworks.co.uk
,"Peaberry is a Hampshire based, family owned and run coffee business with deep roots in the local community. The business is centred around its core roasting operation, but also acts as the hub for a growing range of ethical, socially responsible coffee sourcing and distribution enterprises. Working alongside our carefully chosen Partners, our aim is not only to provide our customers with the best possible coffee experience, but to do so upholding the highest possible ethical standard. That is why we publish full traceability, as well as providing links and documentation to the plantations where our coffee is sourced.",Peaberry Coffee,,https://peaberrycoffee.co.uk
,Tisbury's first coffee roaster..Roasted in Tisbury and for you to enjoy in our unique coffee shop in the heart of Wiltshire,Geniuscoffea,,https://www.facebook.com/geniuscoffea
,"White Rose Coffee Roasters started from a passion for coffee excellence thirty years in the making. Our roastery is founded on traditional hand roasting of coffee, where the skill in developing the full flavours from the coffee is from our head roaster Robert Cooper. Our 5kg and 1kg Toper Roasters give us flexibility and we roast fresh weekly all our range of Speciality Coffees.",White Rose Coffee Roasters,,https://whiterosecoffeeroasters.co.uk
,"We source our green coffee through the most respected merchants in the trade whose ethos is to ensure a fair return for the grower, that coffee is produced in a sustainable way and where workers are properly compensated. We use high quality, traceable beans sourced in small lots, primarily from South America and East Africa, each batch being carefully selected to display the characteristics of the region. These are then hand roasted at our premises. The Zen ethos is to help people step aside the hurly burly of modern life and allow themselves a moment to connect with their own energy. Coffee doesn’t just stimulate the mind and tastebuds, its an antioxidant too. So in small amounts its good for both your mind and your health. More than that it provides a simple excuse to relax, be that be at the end of a meal or as a brief interlude, either alone or in company. So please make the most of Zen and in so doing we hope to help you make a small step in your journey to make the most of you!",Zen Coffee Roasters,,https://www.zencoffee.co.uk
,"Hayling Island Coffee Society (HICS) was started by Alicia & Sam Hewitt, one part Salvadorian, one part South Coast England, and both passionate about great food and drink. We honed our roasting skills through training, experience and life both here in England and in El Salvador, origin of some of the world's very best coffee. Coupled with years working with well known commercial brands giving us the analytical, attention to detail essential to truly create products for coffee loving folk.",Hayling Island Coffee Society,,https://www.hics.biz
,Specialty coffee roasters. Create your ideal letterbox coffee subscription now. TimeOut ❤️ London Award WINNER 2016 & The Independent 'Indy Best' recommended.,Perky Blenders Coffee Roasters,,http://www.perkyblenders.com
,"Coffee Roasters & Suppliers of Wholesale Coffee, Tea, Training & Equipment to Businesses - including a private label service.",Pollards Wholesale Coffee,,http://pollards.com/wholesale
,"Brewup Coffee is an independent coffee company based out of Windsor, crafting exceptional coffee.",Brewup Coffee,,https://thecoffeeroasters.co.uk/collections/brewup-coffee
,"Taylor St was founded in 2006 by 3 Australian siblings who wanted to bring some of the Aussie coffee culture to London. We roast on a Loring because it allows us to roast coffees precisely and with profiles that highlight origin, process, varietal and the natural flavours these elements impart on the coffee. Our catalogue of coffees can be up to 60 per year. We embrace seasonality and smaller lots to showcase the diversity of coffee flavours from around the world. All our coffees score 84 points or higher on the SCA scoresheet to be considered for purchase.",Taylor St Baristas,,https://www.taylor-st.com
,"Limini Coffee is a small family run business managed by husband and wife, Youri and Samantha. We started Limini Coffee in March 2008. Youri full time and Samantha contributing to the business from behind the scenes. Youri and Samantha now both work full time at Limini Coffee still with passion and commitment to customer service and delicious coffee.",Limini Coffee,,http://www.liminicoffee.co.uk
,"'Unorthodox Roasters' and the business was founded in early 2016 after the owners returned from an 11 month Latin America trip visiting coffee farmers and learning the processes. They have a cafe and wine/sherry bar in the High St at Kinross, Scotland. In the centre of their cafe is a Giesen coffee roaster that they roast on weekly. Their roasting style is to focus on single origin coffee, roasted to a light-medium style, aiming to get maximum sweetness and fruit flavours. They are also setting a new trend with how coffee should be served by brewing using V60's filters as the main option as opposed to the traditional espresso style.",Unorthodox Roasters,,https://www.unorthodoxroasters.co.uk
,"Story tells that the barn was ‘blown away’ in the catastrophic storm of January 1839. The Lost Barn became nothing more than an intriguing, noteworthy mention, scribed onto the old field maps of the historic Cheshire estate on which we’re sited. A century and a half later, next to the site of The Lost Barn, our micro-roastery emerges amongst those ancient trees and pastures of the Cheshire countryside. With our hardworking, copper coffee roaster and skilled team, we are passionate about ethically sourcing top quality beans from far away continents and meticulously roasting them in small batches. Bringing together many decades of experience immersed in the food and drink industry in both London and Melbourne, our team prides itself on its attention to detail and hand roasting techniques, creating coffee with mouth-watering depths of flavour and freshness.",Lost Barn Coffee Roasters Ltd,,https://lostbarncoffee.co.uk
,"Roasting the best 27 single origin coffees, in our own #Roastery. We also supply great products for #gifts, #machines & all brand parts. #Iberital Approved",Coffeelink,,https://www.coffeelink.com
,"Supplying freshly roasted coffee and expertly blended teas, we work with independent businesses, wholesale and retail customers. Based in Cheshire, England - the home of quality and enjoyment",Merchant and Miller Cheshire Coffee,,https://www.merchantandmiller.co.uk/?utm_source=thecoffeeroasters&utm_medium=profilelink
,Beankind is a family run coffee roastery based in Lossiemouth on the beautiful Moray Coast. We are extremely passionate about a good brew and we want to bring you specialty coffee that you can enjoy every day at an affordable price.,BeanKind,,http://beankindcoffee.co.uk
,We source and roast our own coffee in small batches. We supply coffee for retail and wholesale to anyone that loves great coffee. We are at Cricklewood Station every weekday 6.30am - 12.00pm,cricklewood coffee,,http://cricklewoodcoffee.co
,"The company was established over 30 years ago when the Smith family retired from India where for two generations prior we had been in the tea plantation business. We arrived in the village of Pluckley (the UK's ""Most Haunted Village"" apparently) where we have our factory and shop. Our main brands are Pluckley Tea, Gurkha Tea, Bombay Tea, and Kentish Roast Coffee. Our Kentish roast is one our unique blends of coffee that we have been fine tuning for 30 years.",Kent Tea and Coffee,,https://www.tea-and-coffee.com
,"Three hills coffee is named after a distinctive local landmark – the three hills of the Eildons near Melrose which feature on our logo. Since 2016 we have been supplying top quality, freshly roasted beans to businesses in the Borders of Scotland and we are passionate about helping local companies serve the best coffee possible.",Three Hills Coffee,,https://www.threehillscoffee.com
,"We are proud members of discover Boyne Valley Flavours network, the Roaster Guild of Europe and the Specialty Coffee Association. Membership has opened up a variety of opportunities to network, learn, and participate in events around the world. The network includes fellow entrepreneurs who are driving exceptional professionalism within the specialty coffee market.",The Studio Coffee Roasters,,http://www.thestudiocoffee.com
,"As devoted seekers of singularity and true to the concepts of origin and direct trade, we are a pleased to offer you a selection of dedicatedly sourced and hand roasted. Colombian speciality coffee to be brewed whit equal care. We are keen at hunting for unique micro lots and varietals throughout Colombia and establishing bonds with farmers and ethnic communities alike in order to bring to you the best quality coffee of the season’s harvest.",My Daily Coffee,,http://mydailycoffee.co.uk
,"Mr Duffins Coffee is a small batch artisan roaster based in Staveley, Cumbria who lovingly roasts speciality Arabica beans to perfection!",Mr Duffins Coffee,,http://www.mrduffinscoffee.com
,"Makushi is a micro roaster on Steep Hill, Lincoln. They only roast sustainably sourced, traceable, high quality, single origin coffee. The green coffees they buy are typically priced a premium above the cost of production has been paid to the farmers, who are often in regions that need it most. They are part of a coffee chain that delivers the best possible coffee while sustainably supporting everyone in that chain, from the farmer, to exporter, roaster, barista and ultimately the consumer.",Makushi Coffee Roasters,,http://makushi.bigcartel.com
,Koffy was founded in 2006 by William and Tony who have over 30 years experience roasting speciality coffees. They source and roast from single farms and estates around the world looking for unique coffees with special flavour profiles to enhance their blends.,Koffy,,http://koffy.ie
,"Javabean are a friendly speciality coffee roasters in Norfolk. A small business fuelled by the passion for great coffee, we are proud to offer a vast selection of premium gourmet coffee beans, fresh coffee subscriptions and high quality coffee brewing equipment. We offer a varied selection of flavours to please almost any palate. Wholesale enquiries are most welcome. We’re always delighted to work with local businesses seeking the freshest, tastiest coffees.",Javabean,,http://javabean.co.uk
,"Cloggs Coffee Company is a Yorkshire based premium quality coffee bean supplier. We have a range of coffees that include single origin numbers and espresso blends. We ethically source the highest grade coffee beans available and hand roast them to order in the Calder Valley, West Yorkshire. Cloggs started life 13 years ago as a small coffee shop in an old converted clog factory in West Yorkshire, hence the name! We supply roasted coffee beans, tea and luxurious hot chocolate to cafes, restaurants, hotels and bars all over the UK.",Cloggs Coffee,,http://www.cloggscoffee.com
,Chapter Coffee. We are #award-winning handcrafted speciality #coffee roasters. Let us be #PartOfYourStory! ☕️,Chapter Coffee,,http://chaptercoffee.com
,"Here on the Holy Island of Lindisfarne in Northumberland, we, the Pilgrims Coffee team, love finding the best coffee beans on the market. We roast these beans to perfection in small batches to ensure they taste superb. This is done on site in our state of the art facility (disguised as a yurt).",Pilgrims Coffee,,http://www.pilgrimscoffee.com
,"Multi award winning speciality coffee shop and roastery situated in Norwich, UK.",Strangers Coffee,,http://www.strangerscoffee.com
,"Hello, We are Matthew and Laura and we run The Honeybee Coffee Roastery. We are based in Fittleworth in West Sussex. We have 16 years of experience within the coffee industry and have now turned our hand to roasting speciality coffees from all over the world. All our coffee is sourced ethically and roasted with great care and attention, and it tastes delicious! The coffee world is so incredible and we never stop learning! Thank you",Honeybee Coffee,,http://thehoneybeecoffeeroastery.co.uk
,"Allegro Coffee was founded in Boulder, Colorado, USA in 1977, with the simple goal to bring you the best coffees in the world. In the decades since, we have merged with Whole Foods Market, moved our offices to a larger facility in the outskirts of nearby Denver, and expanded our product line to include fine tea, wellness tea, and drinking chocolate—all with an emphasis on organic and sustainably grown ingredients. Through all this growth and change, our initial goal has remained the same: from coffee beans to tea leaves, herbs, botanicals, and chocolate— we passionately and continually source the best ingredients the world has to offer.",Allegro Coffee UK,,http://www.facebook.com/AllegroCoffeeUK
,"Here at Clumsy Goat we've really focussed on quality beans – our obsession with premium flavours has taken us on an adventure to source some of the finest beans mother earth has to offer. We also roast all of our beans in small batches so we can deliver maximum freshness and taste. We believe everyone involved in the creation of Clumsy Goat is of equal importance. That’s why we’re genuinely proud to say that all our beans are sourced ethically and sustainably. This helps us to support the industry, the farmers and of course… their goats.",Clumsy Goat Coffee,,http://clumsygoat.co.uk
,"At 47 Degrees Coffee we are enamored with the whole process of delivering coffee to our customers. Enthusiastically chasing the ultimate cup of perfection. From our carefully chosen farmers, who nurture the beans, the selection masters who source the perfect crop and the specialists who transform the fruit to bean. Our roasting process has been perfected through a considerable amount of quality testing, tasting and development. As a small batch coffee roaster we strive to produce coffee that our customers will love.",47 degrees coffee,,http://47degreescoffee.com
,"At Littlestone we wanted to start a coffee company that produced great tasting coffee that can be enjoyed by everyone. By working closely with our coffee bean suppliers we ensure that the green Arabica coffee beans we source are not only the highest quality but also both sourced ethically and sustainably. These beans are then roasted by us in Exeter, Devon and delivered to you within days of being roasted to ensure that you get the very best coffee possible! We are a family run coffee company, which means the whole process is completed by our own fair hands, from roasting, to packing and sealing the bags ready for delivery. This means we are able to make sure each bag of coffee is produced to the same high standard.",Littlestone Coffee,,http://www.littlestonecoffee.co.uk
,"We believe in good coffee, really good coffee. Whether you like to make your own at home, or you love the indulgence of having your coffee made in front of you, we think coffee should always be made with passion and dedication. Our story started back in 2007, when Adeline set up Weanie Beans with the aim of bringing good coffee to the streets of west London. She soon had to get helpers on the stalls, and the business has now grown to the extent where we've installed a much loved 15kg roaster and moved into a larger warehouse space, at the Islands of King Castle in North London. We roast our coffee in small batches, creating delicious blends, as well as bringing out the very best that each coffee has to offer. Our range is always evolving, as we only buy what is at its best in each season.",Weanie Beans,,https://thecoffeeroasters.co.uk/collections/weanie-beans
,"At Long and Short our story and goal is simple, with a passion for all things coffee we aim to bring speciality coffee to the masses and show consumers what good coffee really tastes like. We offer coffee where quality is prioritised in every step of the process from bean to cup, from sourcing the best beans to expertly roasting them fresh to order. Our ultimate mission is to raise the bar for quality coffee everywhere.",Long & Short Coffee,,https://thecoffeeroasters.co.uk/collections/long-&-short-coffee
,Two Chimps are on a mission to fill the gap between pod machine coffee drinkers and specialty coffee drinkers. Good Coffee. No Nonsense. Freshly roasted specialty coffee subscriptions tailored for you.,Two Chimps Coffee,,http://twochimpscoffee.com
,Organic single origin coffees from Cloud Forest communities involved in reforestation & conservation.,Source Climate Coffee,,http://www.sourceclimatechange.com
,"Speciality coffee beans, freshly roasted to order and delivered direct to your door. Premium #coffee beans available to buy online or in a coffee subscription.",Pebble & Pine Coffee,,https://pebbleandpine.co.uk
,"Progressive ROASTERS - Inspired by vintage circuits & industrial processes - ENLIGHTENING coffee by hand, eye & machine",ELECTRIC COFFEE CO.,,http://electriccoffee.co.uk
,"We are a growing company of coffee enthusiasts, roasting espresso blends and a range of single origin beans. We supply our flagship café on Hackney’s Broadway Market, our own stall on market day, as well as a growing list of establishments who have chosen to work with us. Established in 2005, our cafe is considered one of the pioneering venues for London’s now-famous coffee revolution.",Climpson and Sons,,https://thecoffeeroasters.co.uk/collections/climpson-and-sons
,"Our passion for great tasting coffee is the motivation behind everything we do. From the beans we buy to the bags we pack them in, it's all part of our commitment to supplying you with the very best in freshly roasted coffee.",London Coffee Roasters,,http://www.londoncoffeeroasters.co.uk
,"Kinsale Roaster's Coffee is an artisan micro coffee roastery based in Kinsale, Co. Cork, Ireland on the Wild Atlantic Way. It was started in 2016 by two locals with a keen interest in the global coffee industry. We are a fully Irish owned business based in Kinsale, Co. Cork, Ireland and are committed to the delivery of the best total coffee experience for you",Kinsale Roaster's Coffee,,http://www.kinsaleroasters.com
,"Zombie Coffee Co & Roastery was created out of one’s passion and love towards incredible coffee’s from the most exiting and unique farms situated across the stretch of the coffee belt, from the beautiful countries of Central and South America, Africa and Asia. Created by Daniel Lomas, a coffee enthusiast who has studied the intriguing world of coffee over years, he has been roasting small batches over the last two years and has been providing people close to him with unique and delicious freshly roasted coffee’s. Now Daniel has decided to take his roasting experience to a commercial level that he can use as a platform to provide people of the UK with high-grade stunning specialist coffee at an incredible price through his own creation Zombie Coffee Co & Roastery.",Zombie Coffee Co & Roastery,,http://zombiecoffeeco.co.uk
,"Green Bridge Organics is passionate about delivering affordable organic products, starting with coffee. We roast delicious organic coffee from Ethiopia, Papua New Guinea, Peru, Sumatra and Thailand. Great for organic coffee lovers - subscriptions also available!",Green Bridge Organics,,http://greenbridgeorganics.co.uk
,"Regal Coffee operates our own boutique roaster in King’s Lynn and also roast for an ever-growing wholesale client base throughout Great Britain. Our business is dedicated to serving our customers with the freshest coffee in the fastest turnaround time. We cater for single pack purchases for home right up to major corporate clients. Our goal is to deliver premium, locally roasted and, above all, the freshest coffee to baristas and coffee lovers! Facebook:",Regal Coffee Ltd.,,http://regalcoffeeroasters.co.uk
,"Looking for great speciality coffee? You’ve come to the right place. Great aroma, freshly roasted, delicious tasting coffee sourced responsibly from around the globe. Subscriptions of seasonal coffee delivered regularly to your door available. Great for coffee lovers or as a gift.",Brown Bottle Coffee,,http://brownbottlecoffee.com
,We are a micro coffee roasters based in Yorkshire. Providing the UK with great tasting coffee and big smiles is our aim at Pump n Grind. We use ethically sourced speciality raw coffee and transform them into fresh roasted goodness at our Leeds HQ.,Pump n Grind,,http://pumpngrind.co.uk
